Web Search interest: google
Worldwide; 2004 - present

Interest over time
Week,google
2005-08-14 - 2005-08-20,21
2005-08-21 - 2005-08-27,26
2005-08-28 - 2005-09-03,27
2005-09-04 - 2005-09-10,24
2005-09-11 - 2005-09-17,24
2005-09-18 - 2005-09-24,24
2005-09-25 - 2005-10-01,24
2005-10-02 - 2005-10-08,22
2005-10-09 - 2005-10-15,21
2005-10-16 - 2005-10-22,21
2005-10-23 - 2005-10-29,21
2005-10-30 - 2005-11-05,21
2005-11-06 - 2005-11-12,20
2005-11-13 - 2005-11-19,20
2005-11-20 - 2005-11-26,20
2005-11-27 - 2005-12-03,19
2005-12-04 - 2005-12-10,19
2005-12-11 - 2005-12-17,19
2005-12-18 - 2005-12-24,20
2005-12-25 - 2005-12-31,21
2006-01-01 - 2006-01-07,21
2006-01-08 - 2006-01-14,21
2006-01-15 - 2006-01-21,22
2006-01-22 - 2006-01-28,22
2006-01-29 - 2006-02-04,22
2006-02-05 - 2006-02-11,21
2006-02-12 - 2006-02-18,21
2006-02-19 - 2006-02-25,21
2006-02-26 - 2006-03-04,21
2006-03-05 - 2006-03-11,20
2006-03-12 - 2006-03-18,23
2006-03-19 - 2006-03-25,22
2006-03-26 - 2006-04-01,21
2006-04-02 - 2006-04-08,22
2006-04-09 - 2006-04-15,22
2006-04-16 - 2006-04-22,22
2006-04-23 - 2006-04-29,22
2006-04-30 - 2006-05-06,23
2006-05-07 - 2006-05-13,22
2006-05-14 - 2006-05-20,23
2006-05-21 - 2006-05-27,23
2006-05-28 - 2006-06-03,21
2006-06-04 - 2006-06-10,23
2006-06-11 - 2006-06-17,25
2006-06-18 - 2006-06-24,25
2006-06-25 - 2006-07-01,24
2006-07-02 - 2006-07-08,25
2006-07-09 - 2006-07-15,24
2006-07-16 - 2006-07-22,24
2006-07-23 - 2006-07-29,25
2006-07-30 - 2006-08-05,24
2006-08-06 - 2006-08-12,25
2006-08-13 - 2006-08-19,25
2006-08-20 - 2006-08-26,24
2006-08-27 - 2006-09-02,24
2006-09-03 - 2006-09-09,24
2006-09-10 - 2006-09-16,25
2006-09-17 - 2006-09-23,25
2006-09-24 - 2006-09-30,26
2006-10-01 - 2006-10-07,25
2006-10-08 - 2006-10-14,26
2006-10-15 - 2006-10-21,26
2006-10-22 - 2006-10-28,25
2006-10-29 - 2006-11-04,26
2006-11-05 - 2006-11-11,26
2006-11-12 - 2006-11-18,26
2006-11-19 - 2006-11-25,25
2006-11-26 - 2006-12-02,26
2006-12-03 - 2006-12-09,25
2006-12-10 - 2006-12-16,25
2006-12-17 - 2006-12-23,26
2006-12-24 - 2006-12-30,27
2006-12-31 - 2007-01-06,27
2007-01-07 - 2007-01-13,26
2007-01-14 - 2007-01-20,26
2007-01-21 - 2007-01-27,27
2007-01-28 - 2007-02-03,27
2007-02-04 - 2007-02-10,27
2007-02-11 - 2007-02-17,27
2007-02-18 - 2007-02-24,27
2007-02-25 - 2007-03-03,27
2007-03-04 - 2007-03-10,28
2007-03-11 - 2007-03-17,27
2007-03-18 - 2007-03-24,27
2007-03-25 - 2007-03-31,27
2007-04-01 - 2007-04-07,27
2007-04-08 - 2007-04-14,28
2007-04-15 - 2007-04-21,28
2007-04-22 - 2007-04-28,28
2007-04-29 - 2007-05-05,29
2007-05-06 - 2007-05-12,28
2007-05-13 - 2007-05-19,28
2007-05-20 - 2007-05-26,29
2007-05-27 - 2007-06-02,29
2007-06-03 - 2007-06-09,30
2007-06-10 - 2007-06-16,29
2007-06-17 - 2007-06-23,29
2007-06-24 - 2007-06-30,28
2007-07-01 - 2007-07-07,29
2007-07-08 - 2007-07-14,30
2007-07-15 - 2007-07-21,29
2007-07-22 - 2007-07-28,29
2007-07-29 - 2007-08-04,29
2007-08-05 - 2007-08-11,29
2007-08-12 - 2007-08-18,29
2007-08-19 - 2007-08-25,32
2007-08-26 - 2007-09-01,31
2007-09-02 - 2007-09-08,30
2007-09-09 - 2007-09-15,30
2007-09-16 - 2007-09-22,29
2007-09-23 - 2007-09-29,30
2007-09-30 - 2007-10-06,29
2007-10-07 - 2007-10-13,29
2007-10-14 - 2007-10-20,29
2007-10-21 - 2007-10-27,30
2007-10-28 - 2007-11-03,29
2007-11-04 - 2007-11-10,29
2007-11-11 - 2007-11-17,29
2007-11-18 - 2007-11-24,29
2007-11-25 - 2007-12-01,30
2007-12-02 - 2007-12-08,28
2007-12-09 - 2007-12-15,29
2007-12-16 - 2007-12-22,29
2007-12-23 - 2007-12-29,29
2007-12-30 - 2008-01-05,28
2008-01-06 - 2008-01-12,28
2008-01-13 - 2008-01-19,29
2008-01-20 - 2008-01-26,28
2008-01-27 - 2008-02-02,29
2008-02-03 - 2008-02-09,29
2008-02-10 - 2008-02-16,29
2008-02-17 - 2008-02-23,28
2008-02-24 - 2008-03-01,29
2008-03-02 - 2008-03-08,30
2008-03-09 - 2008-03-15,29
2008-03-16 - 2008-03-22,30
2008-03-23 - 2008-03-29,29
2008-03-30 - 2008-04-05,30
2008-04-06 - 2008-04-12,30
2008-04-13 - 2008-04-19,30
2008-04-20 - 2008-04-26,30
2008-04-27 - 2008-05-03,31
2008-05-04 - 2008-05-10,31
2008-05-11 - 2008-05-17,32
2008-05-18 - 2008-05-24,31
2008-05-25 - 2008-05-31,31
2008-06-01 - 2008-06-07,30
2008-06-08 - 2008-06-14,31
2008-06-15 - 2008-06-21,31
2008-06-22 - 2008-06-28,30
2008-06-29 - 2008-07-05,30
2008-07-06 - 2008-07-12,31
2008-07-13 - 2008-07-19,30
2008-07-20 - 2008-07-26,32
2008-07-27 - 2008-08-02,31
2008-08-03 - 2008-08-09,33
2008-08-10 - 2008-08-16,31
2008-08-17 - 2008-08-23,31
2008-08-24 - 2008-08-30,31
2008-08-31 - 2008-09-06,42
2008-09-07 - 2008-09-13,36
2008-09-14 - 2008-09-20,35
2008-09-21 - 2008-09-27,41
2008-09-28 - 2008-10-04,35
2008-10-05 - 2008-10-11,33
2008-10-12 - 2008-10-18,33
2008-10-19 - 2008-10-25,33
2008-10-26 - 2008-11-01,33
2008-11-02 - 2008-11-08,34
2008-11-09 - 2008-11-15,33
2008-11-16 - 2008-11-22,34
2008-11-23 - 2008-11-29,33
2008-11-30 - 2008-12-06,33
2008-12-07 - 2008-12-13,33
2008-12-14 - 2008-12-20,34
2008-12-21 - 2008-12-27,34
2008-12-28 - 2009-01-03,33
2009-01-04 - 2009-01-10,34
2009-01-11 - 2009-01-17,35
2009-01-18 - 2009-01-24,35
2009-01-25 - 2009-01-31,37
2009-02-01 - 2009-02-07,40
2009-02-08 - 2009-02-14,38
2009-02-15 - 2009-02-21,36
2009-02-22 - 2009-02-28,37
2009-03-01 - 2009-03-07,37
2009-03-08 - 2009-03-14,37
2009-03-15 - 2009-03-21,40
2009-03-22 - 2009-03-28,40
2009-03-29 - 2009-04-04,40
2009-04-05 - 2009-04-11,38
2009-04-12 - 2009-04-18,39
2009-04-19 - 2009-04-25,40
2009-04-26 - 2009-05-02,40
2009-05-03 - 2009-05-09,39
2009-05-10 - 2009-05-16,38
2009-05-17 - 2009-05-23,38
2009-05-24 - 2009-05-30,38
2009-05-31 - 2009-06-06,39
2009-06-07 - 2009-06-13,38
2009-06-14 - 2009-06-20,38
2009-06-21 - 2009-06-27,37
2009-06-28 - 2009-07-04,37
2009-07-05 - 2009-07-11,38
2009-07-12 - 2009-07-18,38
2009-07-19 - 2009-07-25,40
2009-07-26 - 2009-08-01,38
2009-08-02 - 2009-08-08,38
2009-08-09 - 2009-08-15,39
2009-08-16 - 2009-08-22,39
2009-08-23 - 2009-08-29,39
2009-08-30 - 2009-09-05,39
2009-09-06 - 2009-09-12,39
2009-09-13 - 2009-09-19,40
2009-09-20 - 2009-09-26,40
2009-09-27 - 2009-10-03,41
2009-10-04 - 2009-10-10,42
2009-10-11 - 2009-10-17,41
2009-10-18 - 2009-10-24,41
2009-10-25 - 2009-10-31,41
2009-11-01 - 2009-11-07,41
2009-11-08 - 2009-11-14,43
2009-11-15 - 2009-11-21,42
2009-11-22 - 2009-11-28,42
2009-11-29 - 2009-12-05,43
2009-12-06 - 2009-12-12,41
2009-12-13 - 2009-12-19,42
2009-12-20 - 2009-12-26,39
2009-12-27 - 2010-01-02,40
2010-01-03 - 2010-01-09,42
2010-01-10 - 2010-01-16,44
2010-01-17 - 2010-01-23,44
2010-01-24 - 2010-01-30,43
2010-01-31 - 2010-02-06,44
2010-02-07 - 2010-02-13,46
2010-02-14 - 2010-02-20,43
2010-02-21 - 2010-02-27,44
2010-02-28 - 2010-03-06,44
2010-03-07 - 2010-03-13,45
2010-03-14 - 2010-03-20,46
2010-03-21 - 2010-03-27,45
2010-03-28 - 2010-04-03,45
2010-04-04 - 2010-04-10,44
2010-04-11 - 2010-04-17,45
2010-04-18 - 2010-04-24,45
2010-04-25 - 2010-05-01,45
2010-05-02 - 2010-05-08,46
2010-05-09 - 2010-05-15,45
2010-05-16 - 2010-05-22,48
2010-05-23 - 2010-05-29,50
2010-05-30 - 2010-06-05,45
2010-06-06 - 2010-06-12,45
2010-06-13 - 2010-06-19,44
2010-06-20 - 2010-06-26,44
2010-06-27 - 2010-07-03,44
2010-07-04 - 2010-07-10,44
2010-07-11 - 2010-07-17,44
2010-07-18 - 2010-07-24,44
2010-07-25 - 2010-07-31,45
2010-08-01 - 2010-08-07,44
2010-08-08 - 2010-08-14,47
2010-08-15 - 2010-08-21,46
2010-08-22 - 2010-08-28,46
2010-08-29 - 2010-09-04,45
2010-09-05 - 2010-09-11,49
2010-09-12 - 2010-09-18,45
2010-09-19 - 2010-09-25,46
2010-09-26 - 2010-10-02,49
2010-10-03 - 2010-10-09,48
2010-10-10 - 2010-10-16,46
2010-10-17 - 2010-10-23,46
2010-10-24 - 2010-10-30,46
2010-10-31 - 2010-11-06,47
2010-11-07 - 2010-11-13,49
2010-11-14 - 2010-11-20,50
2010-11-21 - 2010-11-27,48
2010-11-28 - 2010-12-04,49
2010-12-05 - 2010-12-11,49
2010-12-12 - 2010-12-18,48
2010-12-19 - 2010-12-25,49
2010-12-26 - 2011-01-01,47
2011-01-02 - 2011-01-08,47
2011-01-09 - 2011-01-15,48
2011-01-16 - 2011-01-22,49
2011-01-23 - 2011-01-29,49
2011-01-30 - 2011-02-05,53
2011-02-06 - 2011-02-12,51
2011-02-13 - 2011-02-19,51
2011-02-20 - 2011-02-26,52
2011-02-27 - 2011-03-05,51
2011-03-06 - 2011-03-12,54
2011-03-13 - 2011-03-19,54
2011-03-20 - 2011-03-26,56
2011-03-27 - 2011-04-02,55
2011-04-03 - 2011-04-09,54
2011-04-10 - 2011-04-16,56
2011-04-17 - 2011-04-23,54
2011-04-24 - 2011-04-30,55
2011-05-01 - 2011-05-07,55
2011-05-08 - 2011-05-14,58
2011-05-15 - 2011-05-21,56
2011-05-22 - 2011-05-28,56
2011-05-29 - 2011-06-04,56
2011-06-05 - 2011-06-11,61
2011-06-12 - 2011-06-18,58
2011-06-19 - 2011-06-25,57
2011-06-26 - 2011-07-02,60
2011-07-03 - 2011-07-09,61
2011-07-10 - 2011-07-16,63
2011-07-17 - 2011-07-23,62
2011-07-24 - 2011-07-30,60
2011-07-31 - 2011-08-06,60
2011-08-07 - 2011-08-13,60
2011-08-14 - 2011-08-20,60
2011-08-21 - 2011-08-27,60
2011-08-28 - 2011-09-03,59
2011-09-04 - 2011-09-10,60
2011-09-11 - 2011-09-17,62
2011-09-18 - 2011-09-24,63
2011-09-25 - 2011-10-01,65
2011-10-02 - 2011-10-08,60
2011-10-09 - 2011-10-15,61
2011-10-16 - 2011-10-22,60
2011-10-23 - 2011-10-29,58
2011-10-30 - 2011-11-05,60
2011-11-06 - 2011-11-12,60
2011-11-13 - 2011-11-19,60
2011-11-20 - 2011-11-26,59
2011-11-27 - 2011-12-03,59
2011-12-04 - 2011-12-10,57
2011-12-11 - 2011-12-17,58
2011-12-18 - 2011-12-24,61
2011-12-25 - 2011-12-31,59
2012-01-01 - 2012-01-07,59
2012-01-08 - 2012-01-14,58
2012-01-15 - 2012-01-21,59
2012-01-22 - 2012-01-28,59
2012-01-29 - 2012-02-04,58
2012-02-05 - 2012-02-11,57
2012-02-12 - 2012-02-18,58
2012-02-19 - 2012-02-25,58
2012-02-26 - 2012-03-03,59
2012-03-04 - 2012-03-10,58
2012-03-11 - 2012-03-17,59
2012-03-18 - 2012-03-24,61
2012-03-25 - 2012-03-31,59
2012-04-01 - 2012-04-07,61
2012-04-08 - 2012-04-14,59
2012-04-15 - 2012-04-21,59
2012-04-22 - 2012-04-28,61
2012-04-29 - 2012-05-05,60
2012-05-06 - 2012-05-12,61
2012-05-13 - 2012-05-19,59
2012-05-20 - 2012-05-26,63
2012-05-27 - 2012-06-02,60
2012-06-03 - 2012-06-09,59
2012-06-10 - 2012-06-16,59
2012-06-17 - 2012-06-23,59
2012-06-24 - 2012-06-30,60
2012-07-01 - 2012-07-07,60
2012-07-08 - 2012-07-14,60
2012-07-15 - 2012-07-21,60
2012-07-22 - 2012-07-28,60
2012-07-29 - 2012-08-04,60
2012-08-05 - 2012-08-11,64
2012-08-12 - 2012-08-18,63
2012-08-19 - 2012-08-25,62
2012-08-26 - 2012-09-01,63
2012-09-02 - 2012-09-08,65
2012-09-09 - 2012-09-15,63
2012-09-16 - 2012-09-22,63
2012-09-23 - 2012-09-29,67
2012-09-30 - 2012-10-06,67
2012-10-07 - 2012-10-13,72
2012-10-14 - 2012-10-20,72
2012-10-21 - 2012-10-27,74
2012-10-28 - 2012-11-03,76
2012-11-04 - 2012-11-10,76
2012-11-11 - 2012-11-17,73
2012-11-18 - 2012-11-24,76
2012-11-25 - 2012-12-01,78
2012-12-02 - 2012-12-08,79
2012-12-09 - 2012-12-15,79
2012-12-16 - 2012-12-22,79
2012-12-23 - 2012-12-29,83
2012-12-30 - 2013-01-05,83
2013-01-06 - 2013-01-12,82
2013-01-13 - 2013-01-19,82
2013-01-20 - 2013-01-26,81
2013-01-27 - 2013-02-02,82
2013-02-03 - 2013-02-09,83
2013-02-10 - 2013-02-16,84
2013-02-17 - 2013-02-23,85
2013-02-24 - 2013-03-02,85
2013-03-03 - 2013-03-09,82
2013-03-10 - 2013-03-16,85
2013-03-17 - 2013-03-23,83
2013-03-24 - 2013-03-30,83
2013-03-31 - 2013-04-06,88
2013-04-07 - 2013-04-13,84
2013-04-14 - 2013-04-20,87
2013-04-21 - 2013-04-27,87
2013-04-28 - 2013-05-04,86
2013-05-05 - 2013-05-11,85
2013-05-12 - 2013-05-18,85
2013-05-19 - 2013-05-25,86
2013-05-26 - 2013-06-01,89
2013-06-02 - 2013-06-08,85
2013-06-09 - 2013-06-15,84
2013-06-16 - 2013-06-22,87
2013-06-23 - 2013-06-29,87
2013-06-30 - 2013-07-06,89
2013-07-07 - 2013-07-13,89
2013-07-14 - 2013-07-20,88
2013-07-21 - 2013-07-27,86
2013-07-28 - 2013-08-03,86
2013-08-04 - 2013-08-10,87
2013-08-11 - 2013-08-17,87
2013-08-18 - 2013-08-24,91
2013-08-25 - 2013-08-31,90
2013-09-01 - 2013-09-07,88
2013-09-08 - 2013-09-14,93
2013-09-15 - 2013-09-21,94
2013-09-22 - 2013-09-28,95
2013-09-29 - 2013-10-05,96
2013-10-06 - 2013-10-12,98
2013-10-13 - 2013-10-19,96
2013-10-20 - 2013-10-26,98
2013-10-27 - 2013-11-02,98
2013-11-03 - 2013-11-09,96
2013-11-10 - 2013-11-16,97
2013-11-17 - 2013-11-23,97
2013-11-24 - 2013-11-30,96
2013-12-01 - 2013-12-07,96
2013-12-08 - 2013-12-14,95
2013-12-15 - 2013-12-21,91
2013-12-22 - 2013-12-28,95
2013-12-29 - 2014-01-04,94
2014-01-05 - 2014-01-11,96
2014-01-12 - 2014-01-18,98
2014-01-19 - 2014-01-25,96
2014-01-26 - 2014-02-01,95
2014-02-02 - 2014-02-08,97
2014-02-09 - 2014-02-15,93
2014-02-16 - 2014-02-22,94
2014-02-23 - 2014-03-01,92
2014-03-02 - 2014-03-08,94
2014-03-09 - 2014-03-15,94
2014-03-16 - 2014-03-22,94
2014-03-23 - 2014-03-29,94
2014-03-30 - 2014-04-05,96
2014-04-06 - 2014-04-12,95
2014-04-13 - 2014-04-19,94
2014-04-20 - 2014-04-26,91
2014-04-27 - 2014-05-03,95
2014-05-04 - 2014-05-10,96
2014-05-11 - 2014-05-17,94
2014-05-18 - 2014-05-24,96
2014-05-25 - 2014-05-31,92
2014-06-01 - 2014-06-07,93
2014-06-08 - 2014-06-14,92
2014-06-15 - 2014-06-21,92
2014-06-22 - 2014-06-28,91
2014-06-29 - 2014-07-05,88
2014-07-06 - 2014-07-12,94
2014-07-13 - 2014-07-19,94
2014-07-20 - 2014-07-26,94
2014-07-27 - 2014-08-02,95
2014-08-03 - 2014-08-09,98
2014-08-10 - 2014-08-16,93
2014-08-17 - 2014-08-23,96
2014-08-24 - 2014-08-30,95
2014-08-31 - 2014-09-06,97
2014-09-07 - 2014-09-13,98
2014-09-14 - 2014-09-20,96
2014-09-21 - 2014-09-27,98
2014-09-28 - 2014-10-04,100
2014-10-05 - 2014-10-11,96
2014-10-12 - 2014-10-18,97
2014-10-19 - 2014-10-25,97
2014-10-26 - 2014-11-01,96
2014-11-02 - 2014-11-08,98
2014-11-09 - 2014-11-15,97
2014-11-16 - 2014-11-22,96
2014-11-23 - 2014-11-29,92
2014-11-30 - 2014-12-06,94
2014-12-07 - 2014-12-13,96
2014-12-14 - 2014-12-20,93
2014-12-21 - 2014-12-27,91
2014-12-28 - 2015-01-03,92
2015-01-04 - 2015-01-10,95
2015-01-11 - 2015-01-17,95
2015-01-18 - 2015-01-24,94
2015-01-25 - 2015-01-31,96
2015-02-01 - 2015-02-07,94
2015-02-08 - 2015-02-14,94
2015-02-15 - 2015-02-21,92
2015-02-22 - 2015-02-28,93
2015-03-01 - 2015-03-07,93
2015-03-08 - 2015-03-14,94
2015-03-15 - 2015-03-21,94
2015-03-22 - 2015-03-28,92
2015-03-29 - 2015-04-04,91
2015-04-05 - 2015-04-11,89
2015-04-12 - 2015-04-18,94
2015-04-19 - 2015-04-25,94
2015-04-26 - 2015-05-02,94
2015-05-03 - 2015-05-09,93
2015-05-10 - 2015-05-16,92
2015-05-17 - 2015-05-23,91
2015-05-24 - 2015-05-30,90
2015-05-31 - 2015-06-06,89
2015-06-07 - 2015-06-13,90
2015-06-14 - 2015-06-20,84
2015-06-21 - 2015-06-27,86
2015-06-28 - 2015-07-04,86
2015-07-05 - 2015-07-11,86
2015-07-12 - 2015-07-18,87
2015-07-19 - 2015-07-25,86
2015-07-26 - 2015-08-01,86
2015-08-02 - 2015-08-08,86
2015-08-09 - 2015-08-15,88
2015-08-16 - 2015-08-22,87
2015-08-23 - 2015-08-29,87
2015-08-30 - 2015-09-05,95
2015-09-06 - 2015-09-12,95
2015-09-13 - 2015-09-19,91
2015-09-20 - 2015-09-26,92
2015-09-27 - 2015-10-03,94
2015-10-04 - 2015-10-10,93
2015-10-11 - 2015-10-17,92
2015-10-18 - 2015-10-24,92
2015-10-25 - 2015-10-31,92
2015-11-01 - 2015-11-07,91
2015-11-08 - 2015-11-14,91
2015-11-15 - 2015-11-21,91
2015-11-22 - 2015-11-28, 


Top regions for google
Region,google
Tunisia,100
Algeria,91
Morocco,82
Pakistan,78
Dominican Republic,70
Malaysia,69
Mexico,66
Philippines,62
Ecuador,61
Colombia,59
Guatemala,58
Indonesia,55
Uruguay,54
Ireland,53
India,53
Bosnia & Herzegovina,51
Sri Lanka,51
Costa Rica,51
Puerto Rico,51
Vietnam,50
Jordan,50
United Arab Emirates,49
Romania,48
Venezuela,47
Portugal,47
Italy,47
Brazil,46
Serbia,46
Egypt,45
Argentina,45
United Kingdom,44
New Zealand,43
Greece,43
Singapore,42
Canada,42
Peru,42
Chile,42
Belgium,42
Norway,42
Bangladesh,41
Denmark,41
France,41
Turkey,41
South Africa,40
Spain,40
Australia,39
Hong Kong,39
Croatia,39
United States,38
Switzerland,38
Slovenia,37
Iraq,37
Hungary,36
Netherlands,35
Bulgaria,35
Sweden,35
Austria,34
Czech Republic,33
Poland,33
Finland,33
Lithuania,33
Slovakia,33
Iran,32
Thailand,32
Germany,32
Bolivia,30
Nigeria,29
Israel,29
Taiwan,27
Saudi Arabia,25
Russia,17
Ukraine,13
South Korea,11
Japan,10
China,9


Top cities for google
City,google
Kuala Lumpur (Malaysia),100
Mexico City (Mexico),92
Bogotá (Colombia),86
Jakarta (Indonesia),84
Ho Chi Minh City (Vietnam),83
Bangalore (India),80
Hanoi (Vietnam),71
Rome (Italy),71
Mumbai (India),70
Buenos Aires (Argentina),69
Milan (Italy),68
New Delhi (India),68
London (United Kingdom),65
Istanbul (Turkey),63
Toronto (Canada),62



Top searches for google
maps google,100
maps,100
google translate,65
translate,65
facebook,40
google chrome,25
google earth,25
google map,25
youtube,25
google traductor,20
traductor,20
google play,15
google traduction,10
tradutor google,10
google video,10
google drive,10
gmail,10
google gmail,10
google images,10
yahoo,10
google mail,10
google news,10
hotmail,10
google docs,5
google search,5
www,5
www google,5
traduttore google,5
traductor de google,5
google videos,5
google scholar,5
download google chrome,5
google übersetzer,5
google analytics,5
google plus,5
google tv,5
google translator,5
google uk,5
google calendar,5
google image,5
fb,5
ok google,5
google voice,5
google apps,5
ebay,5
mapa google,5
google account,5
google music,5
google dich,5
google street view,5



Rising searches for google
facebook,Breakout
google chrome,Breakout
maps,Breakout
maps google,Breakout
youtube,Breakout
google earth,+3,500%
tradutor google,+3,000%
google translate,+2,350%
translate,+2,300%
google play,+1,250%



